ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-08-15T06:46:00,2026-08-15T11:46:00.024Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:47:00,2026-08-15T11:47:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:48:00,2026-08-15T11:48:00.019Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:49:00,2026-08-15T11:49:00.019Z,NO_MODULE,,,,,dom,waitlist module absent
2026-08-15T06:50:00,2026-08-15T11:50:00.004Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:51:00,2026-08-15T11:51:00.013Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:52:00,2026-08-15T11:52:00.019Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:53:00,2026-08-15T11:53:00.001Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:54:00,2026-08-15T11:54:00.005Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:55:00,2026-08-15T11:55:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:56:00,2026-08-15T11:56:00.002Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:57:00,2026-08-15T11:57:00.006Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:58:00,2026-08-15T11:58:00.019Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T06:59:00,2026-08-15T11:59:00.023Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:00:00,2026-08-15T12:00:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:01:00,2026-08-15T12:01:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:02:00,2026-08-15T12:02:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:03:00,2026-08-15T12:03:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:04:00,2026-08-15T12:04:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:05:00,2026-08-15T12:05:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:06:00,2026-08-15T12:06:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:07:00,2026-08-15T12:07:00.022Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:08:00,2026-08-15T12:08:00.030Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:09:00,2026-08-15T12:09:00.013Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:10:00,2026-08-15T12:10:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:11:00,2026-08-15T12:11:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:12:00,2026-08-15T12:12:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:13:00,2026-08-15T12:13:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:14:00,2026-08-15T12:14:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:15:00,2026-08-15T12:15:00.007Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:16:00,2026-08-15T12:16:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:17:00,2026-08-15T12:17:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:18:00,2026-08-15T12:18:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:19:00,2026-08-15T12:19:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
